equipo,14-15,15-16,16-17,17-18,18-19
Atlanta Hawks,60,48,43,24,29
Boston Celtics,40,48,53,55,49
Brooklyn Nets,38,21,20,28,42
Charlotte Hornets,33,48,36,36,39
Chicago Bulls,50,42,41,27,22
Cleveland Cavaliers,53,57,51,50,19
Dallas Mavericks,50,42,33,24,33
Denver Nuggets,30,33,40,46,54
Detroit Pistons,32,44,37,39,41
Golden State Warriors,67,73,67,58,57
Houston Rockets,56,41,55,65,53
Indiana Pacers,38,45,42,48,48
LA Clippers,56,53,51,42,48
Los Angeles Lakers,21,17,26,35,37
Memphis Grizzlies,55,42,43,22,33
Miami Heat,37,48,41,44,39
Milwaukee Bucks,41,33,42,44,60
Minnesota Timberwolves,16,29,31,47,36
New Orleans Pelicans,45,30,34,48,33
New York Knicks,17,32,31,29,17
Oklahoma City Thunder,45,55,47,48,49
Orlando Magic,25,35,29,25,42
Philadelphia 76ers,18,10,28,52,51
Phoenix Suns,39,23,24,21,19
Portland Trail Blazers,51,44,41,49,53
Sacramento Kings,29,33,32,27,39
San Antonio Spurs,55,67,61,47,48
Toronto Raptors,49,56,51,59,58
Utah Jazz,38,40,51,48,50
Washington Wizards,46,41,49,43,32
