"","Fecha","Confirmados","Descartados","Fallecidos","Recuperados","Mujeres","Hombres","Extranjeros","Costarricenses","Adultos","Adultos.Mayores","Menores","Hospitalizados","CI","anterior","casos_activos","Casos","periodo_de_duplicacion","casosdia","logcasos","dias","descartados_anterior","descartados_por_dia"
"1",2020-03-06,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,2,0.693147180559945,1,0,0
"2",2020-03-07,5,0,0,0,3,2,2,3,4,1,0,0,0,1,5,4,1,5,1.6094379124341,2,0,0
"3",2020-03-08,5,0,0,0,3,2,2,3,4,1,0,0,0,5,5,0,0,1,0,3,0,0
"4",2020-03-09,9,0,0,0,6,3,3,6,7,2,0,0,0,5,9,4,2,5,1.6094379124341,4,0,0
"5",2020-03-10,13,0,0,0,7,6,3,10,9,2,2,0,0,9,13,4,3,5,1.6094379124341,5,0,0
"6",2020-03-11,22,118,0,0,14,8,3,19,18,2,2,0,0,13,22,9,2,10,2.30258509299405,6,0,118
"7",2020-03-12,23,206,0,0,14,9,3,20,19,2,2,0,0,22,23,1,23,2,0.693147180559945,7,118,88
"8",2020-03-13,26,289,0,0,14,12,3,23,21,3,2,0,0,23,26,3,9,4,1.38629436111989,8,206,83
"9",2020-03-14,27,415,0,0,15,12,4,23,22,3,2,0,0,26,27,1,27,2,0.693147180559945,9,289,126
"10",2020-03-15,35,450,0,0,19,16,5,30,28,3,4,0,0,27,35,8,4,9,2.19722457733622,10,415,35
"11",2020-03-16,41,615,0,0,20,21,6,35,32,5,4,0,0,35,41,6,7,7,1.94591014905531,11,450,165
"12",2020-03-17,50,720,0,0,24,26,6,44,40,6,4,0,0,41,50,9,6,10,2.30258509299405,12,615,105
"13",2020-03-18,69,855,0,0,30,39,6,63,57,7,5,0,0,50,69,19,4,20,2.99573227355399,13,720,135
"14",2020-03-19,87,951,1,0,35,52,8,79,73,7,7,0,0,69,86,18,5,19,2.94443897916644,14,855,96
"15",2020-03-20,113,1046,2,0,46,67,9,104,97,9,7,0,0,87,111,26,4,27,3.29583686600433,15,951,95
"16",2020-03-21,117,1190,2,2,48,69,10,107,100,10,7,0,0,113,113,4,28,5,1.6094379124341,16,1046,144
