AFC,Equipos ,Puntos_total 
afc_este,New England Patriots,"0,750"
afc_este,Buffalo Bills,"0,625"
afc_este,New York Jets,"0,437"
afc_este,Miami Dolphins,"0,3"
afc_norte,Baltimore Ravens,"0,875"
afc_norte,Pittsburgh Steelers,"0,500"
afc_norte,Cleveland Browns,"0,375"
afc_norte,Cincinnati Bengals,"0,12"
afc_oeste,Kansas City Chiefs,"0,750"
afc_oeste,Denver Broncos,"0,437"
afc_oeste,Oakland Raiders,"0,437"
afc_oeste,Los Angeles Chargers,"0,31"
afc_sur,Houston Texans,"0,625"
afc_sur,Tennessee Titans,"0,562"
afc_sur,Indianapolis Colts,"0,437"
afc_sur,Jacksonville Jaguars,"0,37"
