Name,Reward,Value
Lebron James,Temporada MVP,4
Lebron James,Finales MVP,3
Lebron James,Primer equipo NBA,12
Lebron James,Primer equipo defensivo,5
Lebron James,Defensa de la temporada,0
Lebron James,Titulo de anotador,1
Lebron James,Titulo de robos,0
Lebron James,Novato de la temporada,1
Lebron James,Campeonatos,3
Michael Jordan,Temporada MVP,5
Michael Jordan,Finales MVP,6
Michael Jordan,Primer equipo NBA,10
Michael Jordan,Primer equipo defensivo,9
Michael Jordan,Defensa de la temporada,1
Michael Jordan,Titulo de anotador,10
Michael Jordan,Titulo de robos,3
Michael Jordan,Novato de la temporada,1
Michael Jordan,Campeonatos,6
Kobe Bryant,Temporada MVP,1
Kobe Bryant,Finales MVP,2
Kobe Bryant,Primer equipo NBA,11
Kobe Bryant,Primer equipo defensivo,9
Kobe Bryant,Defensa de la temporada,0
Kobe Bryant,Titulo de anotador,2
Kobe Bryant,Titulo de robos,0
Kobe Bryant,Novato de la temporada,0
Kobe Bryant,Campeonatos,5
